command,category
find . -type d -print0 | tar cf directory-structure.tar --null --files-from - --no-recursion,文件打包操作
find . -type d -print0 | tar cf dirstructure.tar --null --files-from - --no-recursion,文件打包操作
find / -print0 | tar -T- --null --no-recursive -cjf tarfile.tar.bz2,文件打包操作
find / -print0 | xargs -0 tar cjf tarfile.tar.bz2,文件打包操作
"tar -czf /fss/fi/outfile.tar.gz `find /fss/fin -d 1 -type d -name ""*"" -print`",文件打包操作
sudo crontab -e -u apache,crontab 操作
screen -S 'name' 'application',应用程序操作
screen -S foo,应用程序操作
screen -S lynx lynx,应用程序操作
screen -r 'name',应用程序操作
find . -type f -print0 | xargs -0 chmod 644,文件权限操作
find . -type d -print0 | xargs -0 chmod 755,文件权限操作
"alias rm100m=""find / -type f -name *.tar -size +100M -exec rm -i {} \;""",命令别名操作
"alias rm1g=""find / -type f -name *.tar -size +1G -exec rm -i {} \;""",命令别名操作
"alias rm2g=""find / -type f -name *.tar -size +2G -exec rm -i {} \;""",命令别名操作
"alias rm5g=""find / -type f -name *.tar -size +5G -exec rm -i {} \;""",命令别名操作
"alias rmc=""find . -iname core -exec rm {} \;""",命令别名操作
ifconfig eth0 hw ether 00:80:48:BA:d1:30,网络设置操作
screen -xr 14313,应用程序操作
tmux attach -t test1,终端会话操作
tmux attach -t <session name>,终端会话操作
scp -p /home/reportuser/dailyReport.doc root@localhost:/root/dailyReports/20150105/,文件传输操作
scp -o StrictHostKeyChecking=no root@IP:/root/K,文件传输操作
"scp -rp ""DAILY_TEST_FOLDER"" ""root@${IPADDRESS}:/home/root/""",文件传输操作
"sshpass -p ""YOUR_PASSWORD"" ssh -o StrictHostKeyChecking=no YOUR_USERNAME@SOME_SITE.COM",远程登录操作
"sshpass -p ""YOUR_PASSWORD"" ssh -o StrictHostKeyChecking=no YOUR_USERNAME@SOME_SITE.COM:2400",远程登录操作
yes | sudo rpm -Uvh https://mirror.webtatic.com/yum/el6/latest.rpm,软件包操作
yes 1 | script -c 'aspell check text.txt' /dev/null,输入操作
yes 0 | script -c 'ispell text.txt' /dev/null,输入操作
yes 0 | script -c 'ispell text.txt' out.txt,输入操作
"find /etc -name ""*.txt"" | xargs -I {} mv {} {}.bak",文件搜索操作
"find /etc -print0 -name ""*.txt"" | xargs -I {} -0 mv {} {}.bak",文件搜索操作
"mysqldump -e --user=username --password=pswd database | gzip | uuencode my-dbbackup.`date +""\%Y-\%m-\%d""`.gz | mail me@domain.com",数据库备份操作
"screen -L bash -c '(while :; do tail ~/screenlog.0 | grep -o ""[0-9]*%"" | tail -1; done | zenity --progress --auto-close &); 7z a ""output.zip"" ""/path/to/input""'",应用程序操作
"find -name ""*.php"" –exec cp {} {}.bak \;",文件搜索操作
"find . -name ""*.java"" -exec cp {} {}.bk \;",文件搜索操作
find -depth -printf '%m:%u:%g:%p\0' >saved-permissions,文件搜索操作
mount --bind /tmp/fakerandom /dev/random,文件挂载操作
mount --bind /original/path /new/path,文件挂载操作
mount --bind /something /new_something,文件挂载操作
ifconfig eth0 down,网络设置操作
"find /usr/local/svn/repos/ -maxdepth 1 -mindepth 1 -type d -printf ""%f\0"" | xargs -0 -I{} echo svnadmin hotcopy /usr/local/svn/repos/\{\} /usr/local/backup/\{\}",文件搜索操作
"yes '' | ruby -e ""$(curl -fsSL https://raw.github.com/Homebrew/homebrew/go/install)""",网络下载操作
"find . -type f | while read f; do g=`md5sum $f | awk '{print $1}'`; echo ""$g $f""> $f-$g.md5; done",文件搜索操作
find . -type f | while read f; do g=`md5sum $f` > $f.md5; done,文件搜索操作
find . -type f -exec md5sum {} \; > MD5SUMS,文件搜索操作
md5sum *.java | awk '{print $1}' | sort | uniq -d,文件搜索操作
find . -type f -exec md5sum \{\} \;,文件搜索操作
find . | xargs md5sum,文件搜索操作
"FILE=""/tmp/command_cache.`echo -n ""$KEY"" | md5sum | cut -c -10`""",环境设置
"md5=$(echo ""$line""|md5sum)",环境设置
checksum=`md5sum /etc/localtime | cut -d' ' -f1`,环境设置
ls -alR -I dev -I run -I sys -I tmp -I proc /path | md5sum -c /tmp/file,文件查看操作
cpio -i -e theDirname | md5sum,文件查看操作
"echo -n """" | md5sum",MD5哈希计算操作
echo -n | md5sum,MD5哈希计算操作
"md5sum ""$ecriv""",MD5哈希计算操作
md5=$(md5sum $item | cut -f1 -d\ ),MD5哈希计算操作
"md5=""$(md5sum ""${my_iso_file}"")""",MD5哈希计算操作
md5=`md5sum ${my_iso_file} | cut -b-32`,MD5哈希计算操作
"md5sum ""$source_file"" ""$dest_file""",MD5哈希计算操作
"find ""$path"" -type f -print0 | sort -z | xargs -r0 md5sum | md5sum",MD5哈希计算操作
md5sum main.cpp*,MD5哈希计算操作
md5sum <(zcat /tmp/tst.gz) <(bzcat /tmp/tst.bz2) <(lzcat /tmp/tst.lzma) <(xzcat /tmp/tst.xz),MD5哈希计算操作
find //path/to/source/Directory -type f -exec md5sum {} + | awk '{print $0}' > Output.txt,MD5哈希计算操作
find path/to/folder -type f -print0  | sort -z | xargs -0 sha1sum; find path/to/folder \( -type f -o -type d \) -print0 | sort -z | xargs -0 stat -c '%n %a' | sha1sum,MD5哈希计算操作
find path/to/folder -type f -print0 | sort -z | xargs -0 cat | sha1sum,MD5哈希计算操作
find path/to/folder -type f -print0 | sort -z | xargs -0 sha1sum | sha1sum,MD5哈希计算操作
find path/to/folder -type f -print0 | xargs -0 sha1sum | sha1sum,MD5哈希计算操作
echo -n teststring | gzip -1 | pigz -lv,文件压缩操作
"echo -n teststring | gzip -1 | tail -c 8 | head -c 4 | hexdump -e '1/4 ""%08x"" ""\n""'",文件压缩操作
"seq -s ""*"" 1 500 |bc",数学计算操作
SUM=$(tree | md5sum),MD5哈希计算操作
"echo ""a"" | md5sum",MD5哈希计算操作
echo -n 'exampleString' | md5sum,MD5哈希计算操作
"echo -n ""logdir"" | md5sum - | awk '{print $1}'",MD5哈希计算操作
"echo ""password"" | md5sum",MD5哈希计算操作
cat submission.cpp | astyle -bj | cpp - | md5sum,MD5哈希计算操作
"echo -n ""yourstring"" |md5sum",MD5哈希计算操作
"grep -ar -e . --include=""*.py"" /your/dir | md5sum | cut -c-32",MD5哈希计算操作
cat *.py | md5sum,MD5哈希计算操作
grep -ar -e . /your/dir | md5sum | cut -c-32,MD5哈希计算操作
grep -aR -e . /your/dir | md5sum | cut -c-32,MD5哈希计算操作
find -maxdepth 1 -type f -exec md5sum {} \; | sed 's/[^(]*(\([^)]*\)) =/\1/',MD5哈希计算操作
find -maxdepth 1 -type f -exec md5sum {} \; | awk '{s=$2; $2=$1; $1=s;}1',MD5哈希计算操作
"ls -p | grep -v / | xargs md5sum | awk '{print $2,$1}'",MD5哈希计算操作
find . -name '.svn' -prune -o -type f -printf '%m%c%p' | md5sum,MD5哈希计算操作
"find /path -type f -name ""*.py"" -exec md5sum ""{}"" +;",MD5哈希计算操作
echo -n -e '\x61' | md5sum,MD5哈希计算操作
cat $FILES | md5sum,MD5哈希计算操作
find /path -type f | sort -u | xargs cat | md5sum,MD5哈希计算操作
cat $(echo $FILES | sort) | md5sum,MD5哈希计算操作
"md5sum filename |cut -f 1 -d "" """,MD5哈希计算操作
find . -maxdepth 1 -type f | md5sum,MD5哈希计算操作
"find ""$path"" -type f -print0 | sort -z | xargs -r0 md5sum | md5sum",MD5哈希计算操作
du -csxb /path | md5sum -c file,MD5哈希计算操作
find /path/to/dir/ -type f -name *.py -exec md5sum {} + | awk '{print $1}' | sort | md5sum,MD5哈希计算操作
tar c dir | md5sum,MD5哈希计算操作
"find -iname ""MyCProgram.c"" -exec md5sum {} \;",MD5哈希计算操作
"find /path/to/dir/ -type f -name ""*.py"" -exec md5sum {} + | awk '{print $1}' | sort | md5sum",MD5哈希计算操作
md5sum $(which cc),MD5哈希计算操作
md5sum $(which gcc),MD5哈希计算操作
md5sum `which c++`,MD5哈希计算操作
<files.txt  xargs stat -c %s | paste -sd+ - | bc,文件大小计算
echo foo | tee >(sha1sum) >(md5sum),MD5哈希计算操作
"octave -q --eval 'printf (""%f\n"", sin([0:0.1:pi/2]))'|nl|tee y.txt",文件编辑操作
"seq -5 10 | xargs printf ""- - %s"" | xargs  | bc",数学计算操作
seq -s+ -5 10 | bc,数学计算操作
seq 10 | jq -s 'add',数学计算操作
seq 10 | tr '[\n]' '+' | sed -e 's/+/ + /g' -e's/ + $/\n/' | xargs expr,数学计算操作
seq 10|jq -s add,数学计算操作
seq 100000 | paste -sd+ | bc -l,数学计算操作
ipcs -mb | awk 'NR > 3 { print $7 }' | paste -sd+ | bc,内存大小计算
cat /file/with/numbers | php -r '$s = 0; while (true) { $e = fgets(STDIN); if (false === $e) break; $s += $e; } echo $s;',文件查看操作
"alias memu=""ps -u $(whoami) -o pid,rss,command | awk '{print \$0}{sum+=\$2} END {print \""Total\"", sum/1024, \""MB\""}'""",命令别名操作
"find ""$PWD"" / -iname '*.jpg' -exec du -s {} + | sed ""s/^/$(hostname): /""",文件搜索操作
"find . -name ""*jpg"" -exec du -k {} \; | awk '{ total += $1 } END { print total/1024 "" Mb total"" }'",文件搜索操作
"find . -type f -iname ""*.jpg"" -ls | awk 'BEGIN {print ""0""}; {print $7, ""+""}; END {print ""p""}' | dc",文件搜索操作
"octave -q --eval 'printf (""%f\n"", [0:0.1:pi/2])'|nl|tee x.txt",文件编辑操作
depth=$(pstree -sA $processid | head -n1 | sed -e 's#-+-.*#---foobar#' -e 's#---*#\n#g' -eq | wc -l),环境设置
"find . –iname ""error"" –print ( -i is for ignore )  find . –iname ""error"" –print ( -i is for ignore )",文件搜索操作
env | grep -i shell,环境设置
cat report.txt | grep -i error | more,文件查看操作
screen -D -m yourEvilProgram,应用程序操作
rename -v 's/\.JPG/\.jpeg/' *.JPG,文件重命名
crontab -l | sed '/anm\.sh/s#\/5#\/10#' | crontab -,crontab 操作
"crontab -l | sed '/anm\.sh/s,^\*/5,*/10,' | crontab -",crontab 操作
sudo find ./bootstrap/cache/ -type d -exec chown apache:laravel {} \;,文件搜索操作
sudo find ./storage/ -type d -exec chown apache:laravel {} \;,文件搜索操作
find htdocs -type f -exec chmod 664 {} + -o -type d -exec chmod 775 {} +,文件搜索操作
find ~ -group vboxusers -exec chown kent:kent {} \;,文件搜索操作
find . \( \! -user xx -exec chown -- xx '{}' + -false \),文件搜索操作
sudo find /var/www -nouser -exec chown root:apache {} \;,文件搜索操作
"echo ',s/foo/bar/g; w' | tr \; '\012' | ed -s file.txt",文件编辑操作
source <(export | sed 's/gcc.4.2/gcc64/g'),环境设置
"cd -P ""$dir1""",目录切换
cd /lib/modules/$(uname -r)/,目录切换
cd  /path/to/pdf,目录切换
cd -L ..,目录切换
cd $(dirname $(dirname $(which perl)))/lib,目录切换
"cd ""$(find . -print0 | sort -z | tr '\0' '\n' | tail -1)""",目录切换
cd $(basename $1 .tar.gz),目录切换
cd /home/`whoami`,目录切换
"cd ""$(dirname ""$1"")""",目录切换
"cd ""$(dirname $(which oracle))""",目录切换
cd $(dirname $(which oracle)),目录切换
cd $(dirname `which oracle`),目录切换
cd $(dirname $(which $0) ),目录切换
cd $(which oracle | xargs dirname),目录切换
"cd ""$(grep DOWNLOAD $HOME/.config/user-dirs.dirs | cut -f 2 -d ""="" | tr ""\"""" ""\n"" | tr -d ""\n"")""",目录切换
"cd ""$(grep DOWNLOAD $HOME/.config/user-dirs.dirs | cut -f 2 -d ""="" | tr ""\"""" ""\n"")""",目录切换
"cd $( ~/marker.sh go ""$@"" )",目录切换
cd $(dirname $(readlink -f $0)),目录切换
cd $(readlink /proc/$PID/cwd),目录切换
cd $(readlink -f $(dirname $0)),目录切换
cd,目录切换
sudo  find /var/www/html/ -type d -exec chmod 775 {} \;,文件权限操作
sudo  find /var/www/html/ -type f -exec chmod 664 {} \;,文件权限操作
"find . -name ""*.css"" -exec sed -i -r 's/#(FF0000|F00)\b/#0F0/' {} \;",文件编辑操作
chown -v root:root /path/to/yourapp,文件权限操作
